WMU,Year,Spring Harvest,Fall Harvest,Total Harvest
36,2017,32,...,32
36,2018,25,…,25
36,2019,67,...,67
36,2020,94,...,94
36,2021,106,...,106
36,2022,109,...,109
36,2023,117,…,117
36,2024,148,...,148
42,2014,2,...,2
42,2015,2,...,2
42,2016,2,...,2
42,2017,2,...,2
42,2018,2,…,2
42,2019,8,...,8
42,2020,5,...,5
42,2021,14,...,14
42,2022,9,...,9
42,2023,7,…,7
42,2024,13,...,13
45,2008,48,...,48
45,2009,24,...,24
45,2010,28,...,28
45,2011,48,...,48
45,2012,66,...,66
45,2013,66,...,66
45,2014,38,...,38
45,2015,41,...,41
45,2016,46,...,46
45,2017,61,...,61
45,2018,54,…,54
45,2019,60,...,60
45,2020,61,...,61
45,2021,95,...,95
45,2022,92,...,92
45,2023,108,…,108
45,2024,146,...,146
46,2009,17,...,17
46,2010,14,...,14
46,2011,15,...,15
46,2012,11,...,11
46,2013,23,...,23
46,2014,13,...,13
46,2015,10,...,10
46,2016,8,...,8
46,2017,12,...,12
46,2018,14,…,14
46,2019,27,...,27
46,2020,24,...,24
46,2021,20,...,20
46,2022,25,...,25
46,2023,27,…,27
46,2024,27,...,27
47,2014,1,...,1
47,2015,0,...,0
47,2016,1,...,1
47,2017,4,...,4
47,2018,4,…,4
47,2019,13,...,13
47,2020,19,...,19
47,2021,39,...,39
47,2022,38,...,38
47,2023,50,…,50
47,2024,64,...,64
48,2008,16,...,16
48,2009,7,...,7
48,2010,27,...,27
48,2011,17,...,17
48,2012,32,...,32
48,2013,23,...,23
48,2014,23,...,23
48,2015,17,...,17
48,2016,19,...,19
48,2017,14,...,14
48,2018,23,…,23
48,2019,42,...,42
48,2020,83,...,83
48,2021,68,...,68
48,2022,89,...,89
48,2023,74,…,74
48,2024,68,...,68
49,2014,40,...,40
49,2015,34,...,34
49,2016,37,...,37
49,2017,30,...,30
49,2018,27,…,27
49,2019,70,...,70
49,2020,78,...,78
49,2021,106,...,106
49,2022,98,...,98
49,2023,106,…,106
49,2024,83,...,83
50,2014,16,...,16
50,2015,5,...,5
50,2016,3,...,3
50,2017,1,...,1
50,2018,5,…,5
50,2019,27,...,27
50,2020,22,...,22
50,2021,43,...,43
50,2022,42,...,42
50,2023,40,…,40
50,2024,27,...,27
53,2008,108,...,108
53,2009,68,...,68
53,2010,54,...,54
53,2011,69,...,69
53,2012,68,...,68
53,2013,73,...,73
53,2014,39,...,39
53,2015,47,...,47
53,2016,52,...,52
53,2017,51,...,51
53,2018,39,…,39
53,2019,98,...,98
53,2020,125,...,125
53,2021,112,...,112
53,2022,125,...,125
53,2023,154,…,154
53,2024,130,...,130
54,2009,8,...,8
54,2010,7,...,7
54,2011,5,...,5
